Datetime,Water Level (m)
2022-09-29 01:00:00,3.813709e-05
2022-09-29 02:00:00,-2.7725766e-05
2022-09-29 03:00:00,-0.00023250082
2022-09-29 04:00:00,-0.0009775214
2022-09-29 05:00:00,-0.0021454277
2022-09-29 06:00:00,-0.004484244
2022-09-29 07:00:00,-0.010357593
2022-09-29 08:00:00,0.011030229
2022-09-29 09:00:00,0.096493855
2022-09-29 10:00:00,0.25238553
2022-09-29 11:00:00,0.4233899
2022-09-29 12:00:00,0.5441828
2022-09-29 13:00:00,0.5243443
2022-09-29 14:00:00,0.32610008
2022-09-29 15:00:00,0.120420136
2022-09-29 16:00:00,-0.044607997
2022-09-29 17:00:00,-0.18259414
2022-09-29 18:00:00,-0.28622195
2022-09-29 19:00:00,-0.024450483
2022-09-29 20:00:00,0.38793367
2022-09-29 21:00:00,0.7456547
2022-09-29 22:00:00,0.9759736
2022-09-29 23:00:00,1.0431246
2022-09-30 00:00:00,0.8681531
2022-09-30 01:00:00,0.5793103
2022-09-30 02:00:00,0.35632107
2022-09-30 03:00:00,0.18462048
2022-09-30 04:00:00,0.034820624
2022-09-30 05:00:00,-0.09250671
2022-09-30 06:00:00,-0.14234719
2022-09-30 07:00:00,0.13934417
2022-09-30 08:00:00,0.49183804
2022-09-30 09:00:00,0.78585184
2022-09-30 10:00:00,0.9768201
2022-09-30 11:00:00,1.014786
2022-09-30 12:00:00,0.8360859
2022-09-30 13:00:00,0.56603813
2022-09-30 14:00:00,0.35307655
2022-09-30 15:00:00,0.18749952
2022-09-30 16:00:00,0.041276198
2022-09-30 17:00:00,-0.087322116
2022-09-30 18:00:00,-0.15726514
2022-09-30 19:00:00,0.09204468
2022-09-30 20:00:00,0.45181572
2022-09-30 21:00:00,0.7716865
2022-09-30 22:00:00,1.0072058
2022-09-30 23:00:00,1.1325884
2022-10-01 00:00:00,1.0866748
2022-10-01 01:00:00,0.8391862
2022-10-01 02:00:00,0.5910538
2022-10-01 03:00:00,0.4022038
2022-10-01 04:00:00,0.24685317
2022-10-01 05:00:00,0.11138997
2022-10-01 06:00:00,0.005769759
2022-10-01 07:00:00,0.047421694
2022-10-01 08:00:00,0.3934094
2022-10-01 09:00:00,0.69705933
2022-10-01 10:00:00,0.9087013
2022-10-01 11:00:00,1.0046033
2022-10-01 12:00:00,0.946348
2022-10-01 13:00:00,0.72661835
2022-10-01 14:00:00,0.5027846
2022-10-01 15:00:00,0.32485723
2022-10-01 16:00:00,0.17884383
2022-10-01 17:00:00,0.04747521
2022-10-01 18:00:00,-0.05693028
2022-10-01 19:00:00,-0.05965382
2022-10-01 20:00:00,0.25288656
2022-10-01 21:00:00,0.58438504
2022-10-01 22:00:00,0.8537858
2022-10-01 23:00:00,1.0347639
2022-10-02 00:00:00,1.1060221
2022-10-02 01:00:00,1.016557
2022-10-02 02:00:00,0.7828247
2022-10-02 03:00:00,0.575556
